,total_count,total_count,avg_confidence,avg_confidence,Final_Sentiment
sentiment,Negative,Positive,Negative,Positive,
movie,,,,,
2001太空漫游,4.0,1.0,0.9422648549079896,0.7905387878417969,Negative
7号房的礼物,2.0,3.0,0.9622034728527068,0.8334752917289734,Positive
一一,2.0,3.0,0.8595436215400696,0.96246471007665,Positive
一个叫欧维的男人决定去死,2.0,3.0,0.9363207221031189,0.934728741645813,Positive
七宗罪,1.0,4.0,0.9931061863899232,0.7516697496175766,Positive
七武士,0.0,5.0,0.0,0.8766633033752441,Positive
三傻大闹宝莱坞,1.0,4.0,0.8246753811836243,0.8627601563930511,Positive
三块广告牌,1.0,4.0,0.994671642780304,0.8960809111595154,Positive
上帝之城,3.0,2.0,0.9732220967610677,0.8456883132457733,Negative
东京教父,3.0,2.0,0.9573309222857157,0.9556763470172882,Negative
东邪西毒,1.0,4.0,0.8686816692352295,0.8762467503547668,Positive
两杆大烟枪,2.0,3.0,0.8737063109874725,0.796930213769277,Positive
九品芝麻官,3.0,2.0,0.9710103273391724,0.7858548164367676,Negative
乱世佳人,3.0,2.0,0.7290048400561014,0.9493537545204164,Negative
人工智能,4.0,1.0,0.8095770180225372,0.920274257659912,Negative
低俗小说,4.0,1.0,0.8524402529001236,0.9863839745521544,Negative
何以为家,3.0,2.0,0.6774138410886129,0.9666696190834044,Negative
你的名字。,0.0,5.0,0.0,0.9164400219917297,Positive
你看起来好像很好吃,1.0,4.0,0.5319750308990479,0.9011189341545106,Positive
侧耳倾听,2.0,3.0,0.8532305657863617,0.9657584428787231,Positive
借东西的小人阿莉埃蒂,1.0,4.0,0.9836829304695128,0.8733426034450531,Positive
倩女幽魂,3.0,2.0,0.964876433213552,0.9026801288127899,Negative
傲慢与偏见,2.0,3.0,0.5563238561153412,0.9873298009236654,Positive
入殓师,1.0,4.0,0.8830604553222656,0.9730078876018524,Positive
冰川时代,3.0,2.0,0.9412544965744019,0.8835118114948273,Negative
冰雪奇缘,0.0,5.0,0.0,0.9915006399154664,Positive
初恋这件小事,2.0,3.0,0.7600553929805756,0.9532527128855387,Positive
剪刀手爱德华,1.0,4.0,0.9934409260749816,0.7360033839941025,Positive
功夫,3.0,2.0,0.7669324477513632,0.9236445724964142,Negative
加勒比海盗,2.0,3.0,0.9151681661605835,0.8163149158159891,Positive
勇敢的心,1.0,4.0,0.5687522888183594,0.8858265131711959,Positive
十二怒汉,0.0,5.0,0.0,0.8815218806266785,Positive
千与千寻,5.0,0.0,0.8154710054397583,0.0,Negative
千年女优,2.0,3.0,0.7017398178577423,0.8739700317382812,Positive
千钧一发,2.0,3.0,0.9329936504364014,0.9303322831789652,Positive
卢旺达饭店,0.0,5.0,0.0,0.9146910548210144,Positive
可可西里,3.0,2.0,0.987531840801239,0.5132192373275757,Negative
告白,3.0,2.0,0.8741917014122009,0.9289599061012268,Negative
哈利·波特与凤凰社,2.0,3.0,0.9817661345005037,0.8856508731842041,Positive
哈利·波特与密室,3.0,2.0,0.8518127997716268,0.7721740007400513,Negative
哈利·波特与死亡圣器(上),1.0,4.0,0.7084639668464661,0.9378261417150497,Positive
哈利·波特与死亡圣器(下),3.0,2.0,0.9649448196093241,0.9607289135456084,Negative
哈利·波特与火焰杯,2.0,3.0,0.9424121975898744,0.9362545013427734,Positive
哈利·波特与阿兹卡班的囚徒,0.0,5.0,0.0,0.9642293453216553,Positive
哈利·波特与魔法石,1.0,4.0,0.8237903118133545,0.9256469160318376,Positive
哈尔的移动城堡,0.0,5.0,0.0,0.9186596870422363,Positive
哪吒闹海,2.0,3.0,0.9587995111942292,0.951323707898458,Positive
唐伯虎点秋香,3.0,2.0,0.6536151766777039,0.8191767334938049,Negative
喜剧之王,1.0,4.0,0.8096826672554016,0.8217079192399979,Positive
喜宴,3.0,2.0,0.8262240489323934,0.9684370756149292,Negative
